이름, 몸무게, 키
차카,86,180
자사,85,191
라바,104,143
자사,41,142
마파,92,169
바마,41,149
마하,54,157
라다,67,186
사자,82,161
다파,91,189
파사,109,183
카아,71,170
나하,106,142
카마,46,159
가카,117,152
하차,71,187
아아,51,187
라바,91,175
자카,107,184
다마,98,157
파마,116,171
아하,87,176
카바,95,192
바카,52,152
가차,105,189
카마,70,144
차타,42,166
자자,94,146
마가,84,165
라바,48,181
가바,109,171
나카,53,163
카하,105,171
카하,74,195
카바,89,194
카사,83,187
마타,109,155
하타,41,172
아아,109,185
나차,102,177
차나,104,198
마하,77,192
바아,53,142
마다,92,150
나카,69,192
라아,117,181
라가,92,174
가타,89,141
마타,53,173
타하,91,177
바바,69,190
하나,67,158
바마,95,185
타가,56,152
다다,104,144
나라,75,150
자하,95,146
마라,87,143
차타,63,146
라라,97,152
차타,43,157
파하,54,199
파마,75,157
다가,80,180
아가,80,185
카하,115,199
자가,54,169
차라,88,159
다가,104,192
하마,80,195
다차,119,182
타차,99,191
아자,78,149
타카,60,181
마차,64,178
마아,69,154
바나,63,171
카나,75,172
아마,45,155
마차,50,161
사가,91,162
라하,43,164
차다,44,178
파파,119,179
라자,107,161
차바,83,161
카바,40,180
카아,43,142
가라,104,168
다자,59,172
차파,101,155
다하,45,194
타가,56,165
나파,100,192
파카,66,197
자나,73,153
아카,81,195
차아,46,190
타자,40,171
가차,96,179
자바,86,152
타사,49,148
가자,63,164
가하,78,169
마라,58,167
자자,92,177
아차,47,183
파가,88,151
다다,64,193
바차,78,188
파차,119,180
바파,74,196
카타,103,192
다사,114,179
자아,74,147
나마,52,191
라차,88,147
바파,55,146
바자,44,189
아아,66,179
라파,45,177
나하,92,187
하다,77,194
타아,43,160
파바,112,188
나파,94,166
나사,113,142
마사,73,178
타하,87,144
마타,42,192
타바,47,191
사사,116,171
가마,83,189
자타,104,146
카아,42,148
아카,117,192
나자,48,166
가마,80,178
가마,82,192
나하,67,190
다가,71,140
마다,64,143
파라,80,175
타마,53,194
카라,68,148
사가,75,154
하가,57,152
자파,73,140
가마,111,168
아하,94,159
바사,85,175
하라,90,151
카차,105,157
아타,110,141
파나,95,169
파사,66,180
카자,55,151
아자,99,185
하자,72,140
마가,104,189
카마,45,176
카마,86,152
차아,47,192
나자,99,156
사차,116,160
차라,108,174
다아,42,189
다파,93,177
바라,109,140
사다,70,147
라카,114,151
나하,75,144
카다,98,184
나가,85,175
나타,52,159
바하,52,177
다하,77,141
사사,89,170
마마,112,189
아타,45,150
파자,101,154
아가,77,162
자사,68,189
바파,46,192
카하,109,191
자자,40,140
자하,47,157
하아,117,162
사마,119,156
카마,78,171
차아,114,180
타차,47,178
타다,105,188
나파,100,185
자하,96,165
가나,74,175
카마,104,197
아아,66,153
라아,95,153
다라,80,166
카다,95,146
아라,94,163
가마,90,142
나나,87,178
가가,55,170
라바,86,148
다라,43,149
하파,87,149
나가,66,192
마가,40,147
마차,92,150
아마,63,144
아라,93,159
파바,81,172
라다,88,169
하마,108,162
차다,68,167
카카,82,169
카가,106,155
사파,103,167
아자,52,186
아바,100,187
차카,119,159
타파,55,168
다타,63,180
아라,78,171
파사,94,179
라하,101,168
사바,68,155
나마,64,154
자사,78,176
카카,50,162
자바,72,192
차다,67,157
사라,54,161
자사,72,179
사타,61,172
자카,93,150
라타,44,180
아나,64,152
카카,72,178
파타,75,155
바파,40,199
나아,113,147
가하,62,172
사차,83,157
차아,81,161
나가,60,155
파자,110,149
차카,103,197
바파,115,142
카하,112,168
라파,70,187
자하,65,181
사라,96,194
라아,60,165
라가,119,180
라라,51,162
카마,77,197
다파,44,185
라바,50,166
파마,77,185
사사,69,176
라다,72,195
타마,56,187
마파,56,184
바타,113,143
가나,49,160
라라,92,155
사사,68,157
사자,69,147
카타,73,163
타타,71,184
마나,116,156
바나,85,158
마마,81,193
아가,60,196
자파,46,142
아나,90,168
라파,47,154
파차,85,144
아타,84,194
차차,90,168
차마,96,170
나바,75,197
다자,44,166
하하,93,160
바라,61,177
아바,111,181
바바,112,161
파타,55,167
타마,73,199
나다,73,175
아아,114,168
마다,71,176
라아,82,169
나차,55,181
바나,50,163
라자,85,179
타가,98,196
가다,47,170
바다,111,152
바카,68,167
나가,100,149
차가,69,180
다가,54,197
자바,89,148
라가,95,199
다하,116,199
아차,63,182
파라,59,174
파사,79,199
사사,64,180
나타,92,157
바카,98,177
카다,57,184
하파,47,191
타나,47,162
자자,107,150
차자,117,176
아차,117,174
카나,100,143
차라,45,196
차다,51,155
다나,84,145
다파,68,191
라다,58,172
하자,44,192
나바,84,179
카가,119,194
타자,43,191
하마,104,160
라차,49,167
차라,108,157
하마,108,199
카사,58,198
카타,73,181
사바,99,145
아마,85,146
바다,70,185
카나,54,196
자아,47,174
다라,118,194
차사,57,192
차라,99,181
아다,40,174
차사,94,169
아타,45,179
다자,99,144
자타,47,143
타바,42,149
다아,110,199
카타,66,196
카파,79,164
라마,62,144
나라,52,164
하파,74,161
마파,69,197
차다,82,190
나바,59,174
마타,104,189
다바,95,194
하파,94,174
타나,84,196
라타,72,181
나나,117,161
나아,73,170
자마,110,199
자사,50,167
파나,45,165
하카,73,163
라차,53,189
아파,110,148
파자,65,154
아카,71,155
파나,54,143
바마,71,140
아아,47,150
나파,61,178
가타,64,169
파가,94,145
라바,78,142
아아,95,181
타카,93,181
가자,119,146
라카,68,164
카다,112,180
차라,117,170
사라,109,144
자가,48,189
파자,46,145
다사,68,150
다사,99,177
마라,47,173
라바,91,150
자카,117,185
사자,84,172
타자,81,143
사하,76,166
나아,46,152
다하,101,153
자사,41,140
다다,46,152
자사,91,170
다파,75,196
바사,58,154
나아,90,180
마바,101,193
사파,83,198
다자,52,174
하타,85,196
마사,88,158
사마,84,179
가라,101,163
나다,57,146
사아,96,158
가차,68,197
라나,119,176
마바,97,154
나가,78,177
라파,71,178
차아,98,190
자자,90,196
라라,103,141
사하,68,165
자나,45,151
나하,92,143
타바,75,141
파파,47,177
나아,118,168
나자,103,163
차사,67,190
다바,40,195
가차,84,184
다자,117,164
마파,66,165
마차,84,177
마사,90,143
바사,46,175
아자,40,181
카사,43,142
차자,88,165
아가,79,178
타다,74,185
가마,111,184
바아,93,144
